,Nameabv,Name_long,Date,Title,Sen_len,Dialogue,Compound,neg,neu,pos,Textblob_Polarity,Textblob_Subjectivity,difference
4145,BKO,Barack Obama,22-Mar-16,Remarks to the People of Cuba,260,"Millions of our people share a common religion -- a faith that I paid tribute to at the Shrine of our Lady of Charity in Miami, a peace that Cubans find in La Cachita.",0.8834,0.0,0.697,0.303,-0.3,0.5,1.1834
3589,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,"And if we did these things, then weÕd help to restore the sense that hard work is rewarded and we could build an economy that truly works for everybody.",0.8625,0.038,0.659,0.302,-0.2916666666666667,0.5416666666666666,1.1541666666666668
16799,JFK,John F. Kennedy,11-Jan-62,State of the Union Address,216,"This Nation has the will and the faith to make a supreme effort to break the log jam on disarmament and nuclear tests--and we will persist until we prevail, until the rule of law has replaced the ever dangerous use of force.",0.5106,0.065,0.8,0.135,-0.6,0.9,1.1106
12649,GFo,Gerald Ford,08-Oct-74,"""Whip Inflation Now"" Speech",215,"The tax reform bill now in the House Committee on Ways and Means, which I favor, already provides approximately $1.6 billion of tax relief to these groups.",0.7003,0.0,0.805,0.195,-0.4,0.6,1.1003
9856,RRe,Ronald Reagan,25-Jan-84,State of the Union Address,292,"Some days when life seems hard and we reach out for values to sustain us or a friend to help us, we find a person who reminds us what it means to be Americans.",0.8074,0.037,0.709,0.255,-0.2916666666666667,0.5416666666666666,1.0990666666666666
15957,LBJ,Lyndon B. Johnson,18-Aug-67,Press Conference,256,"The United States is very anxious to meet with the representatives of the North Vietnamese Government at any time, at a mutually agreed place, to try to agree on some plan that will resolve these differences.",0.7722,0.054,0.709,0.236,-0.325,1.0,1.0972
13689,RMN,Richard M. Nixon,25-Feb-71,Radio Address About Second Annual Foreign Policy Report to the Congress,161,"But America's power will always be used for building a peace, never for breaking itÑonly for defending freedom, never for destroying it.",0.8916,0.0,0.629,0.371,-0.2,0.0,1.0916
16670,JFK,John F. Kennedy,11-Jan-62,State of the Union Address,216,But we mean to maintain both stability and growth in a climate of freedom.,0.7783,0.0,0.618,0.382,-0.3125,0.6875,1.0908
6980,BCl,Bill Clinton,25-Mar-98,Remarks to the People of Rwanda,96,"And when they were found, the old and the sick, the women and children alike, they were killedÑkilled because their identity card said they were Tutsi or because they had a Tutsi parent or because someone thought they looked like a Tutsi or slain, like thousands of Hutus, because they protected Tutsis or would not countenance a policy that sought to wipe out people who just the day before, and for years before, had been their friends and neighbors.",0.7717,0.039,0.832,0.129,-0.30714285714285716,0.5285714285714286,1.0788428571428572
9746,RRe,Ronald Reagan,25-Jan-84,State of the Union Address,292,"NASA will invite other countries to participate so we can strengthen peace, build prosperity, and expand freedom for all who share our goals.",0.9367,0.0,0.51,0.49,-0.125,0.375,1.0617
2385,DTr,Donald Trump,04-Jul-20,Remarks at Salute to America,209,"ThatÕs why our country is so strong, even despite terrible things that happen over the generations.",0.7779,0.0,0.673,0.327,-0.2833333333333333,0.8666666666666667,1.0612333333333335
13589,RMN,Richard M. Nixon,25-Feb-71,Radio Address About Second Annual Foreign Policy Report to the Congress,161,We are at a critical moment in history: What America doesÑor fails to doÑwill determine whether peace and freedom can be won in the coming generation.,0.8074,0.14,0.548,0.312,-0.25,0.55,1.0574
13750,RMN,Richard M. Nixon,22-Jan-71,State of the Union Address,192,Let us generously help those who are not able to help themselves.,0.802,0.0,0.523,0.477,-0.25,0.625,1.052
14520,LBJ,Lyndon B. Johnson,14-Jan-69,State of the Union Address,285,We earnestly hope that time will bring a Russia that is less afraid of diversity and individual freedom.,0.7964,0.0,0.679,0.321,-0.25555555555555554,0.45555555555555555,1.0519555555555555
1017,JBi,Joe Biden,15-Nov-21,Signing the Infrastructure Investment and Jobs Act,225,"And I canÕt look over here because the sun is shining in my eyes, but all this other crowd over here Ñ and thank you, thank you, thank you, thank you for all youÕve done.",0.9186,0.0,0.69,0.31,-0.125,0.375,1.0436
9380,RRe,Ronald Reagan,23-Aug-84,Republican National Convention,293,Those whom government intended to help discovered a cycle of dependency that could not be broken.,0.6433,0.0,0.712,0.288,-0.4,0.4,1.0433
14788,LBJ,Lyndon B. Johnson,31-Mar-68, Remarks on Decision not to Seek Re-Election,191,"So, I repeat on behalf of the United States again tonight what I said at Johns HopkinsÑthat North Vietnam could take its place in this common effort just as soon as peace comes.",0.743,0.0,0.822,0.178,-0.3,0.5,1.043
5066,GWB,George W. Bush,12-Jan-09,Final Press Conference,401,And why were you unable to achieve the peace deal that you had sought?,0.5423,0.0,0.788,0.212,-0.5,0.5,1.0423
14897,LBJ,Lyndon B. Johnson,17-Jan-68,State of the Union Address,285,"But until world conditions permit, and until peace is assured, America's might--and America's bravest sons who wear our Nation's uniform--must continue to stand guard for all of us--as they gallantly do tonight in Vietnam and other places in the world.",0.9042,0.0,0.747,0.253,-0.125,0.375,1.0292
6135,GWB,George W. Bush,23-Jan-07,State of the Union Address,285,"With the other members of the QuartetÑthe U.N., the EU, and RussiaÑwe're pursuing diplomacy to help bring peace to the Holy Land and pursuing the establishment of a democratic Palestinian state living side by side with Israel in peace and security.",0.9022,0.0,0.748,0.252,-0.125,0.375,1.0272000000000001
16990,JFK,John F. Kennedy,07-Dec-61,Address in Miami at the Opening of the AFL-CIO Convention,155,And I'm anxious that the United States play its proper role to protect the interests of our people and to advance the cause of freedom.,0.9001,0.057,0.543,0.4,-0.125,0.55,1.0251000000000001
11951,GFo,Gerald Ford,12-Jan-77, State of the Union Address,215,"In my three budgets we not only arrested that dangerous decline, but we have established the positive trend which is essential to our ability to contribute to peace and stability in the world.",0.9235,0.046,0.63,0.324,-0.09318181818181817,0.6863636363636363,1.0166818181818182
7124,BCl,Bill Clinton,27-Jan-98,State of the Union Address,287,"Student loans, already less expensive and easier to repayÑnow you get to deduct the interest.",0.6743,0.0,0.701,0.299,-0.3333333333333333,0.3833333333333333,1.0076333333333334
6850,BCl,Bill Clinton,19-Jan-99,State of the Union Address,303,"Also, I ask your support for a dramatic increase in federal support for adult literacy, to mount a national campaign aimed at helping the millions and millions of working people who still read at less than a fifth grade level.",0.836,0.0,0.764,0.236,-0.16666666666666663,0.3222222222222222,1.0026666666666666
11995,GFo,Gerald Ford,12-Jan-77, State of the Union Address,215,"May our third century be illuminated by liberty and blessed with brotherhood, so that we and all who come after us may be the humble servants of thy peace.",0.8957,0.0,0.707,0.293,-0.1,0.2,0.9957
16703,JFK,John F. Kennedy,11-Jan-62,State of the Union Address,216,All our material riches will avail us little if we do not use them to expand the opportunities of our people.,0.8074,0.0,0.684,0.316,-0.1875,0.5,0.9949
12334,GFo,Gerald Ford,10-Apr-75,Address on U.S. Foreign Policy,255,"With respect to North Vietnam, I call upon Hanoi--and ask the Congress to join with me in this call--to cease military operations immediately and to honor the terms of the Paris agreement.",0.8934,0.0,0.698,0.302,-0.1,0.1,0.9934
3680,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,"Look at somebody like Madison Little, who grew up dealing with some health issues, and started wondering what his care would have been like if he lived someplace else, and so, here at Rutgers, he took charge of a student nonprofit and worked with folks in Australia and Cambodia and Uganda to address the AIDS epidemic.",0.802,0.0,0.864,0.136,-0.1875,0.5,0.9895
6896,BCl,Bill Clinton,19-Jan-99,State of the Union Address,303,"But at the same time, we must ensure that ordinary citizens in all countries actually benefit from trade, a trade that promotes the dignity of work and the rights of workers and protects the environment.",0.9001,0.0,0.69,0.31,-0.08333333333333333,0.24166666666666667,0.9834333333333334
10562,JCa,Jimmy Carter,14-Aug-80,Acceptance Speech at the Democratic National Convention,251,"And I see a future of peaceÑa peace born of wisdom and based on a fairness toward all countries of the world, a peace guaranteed both by American military strength and by American moral strength as well.",0.9578,0.0,0.588,0.412,-0.02,0.095,0.9778
15625,LBJ,Lyndon B. Johnson,17-Nov-67, Press Conference,332,They like that curve to rise like this [indicating a sharp rise] and they like the opposition to go down like this [indicating a sharply declining line].,0.8402,0.0,0.677,0.323,-0.13518518518518519,0.5962962962962963,0.9753851851851851
6523,BCl,Bill Clinton,27-Jan-00,State of the Union Address,318,"As hard as they work, they still donÕt have the opportunity to save.",0.6808,0.08,0.575,0.345,-0.2916666666666667,0.5416666666666666,0.9724666666666666
15024,LBJ,Lyndon B. Johnson,17-Jan-68,State of the Union Address,285,"I shall recommend other actions:

--To raise the farmers' income by establishing a security commodity reserve that will protect the market from price-depressing stocks and protect the consumer from food scarcity.",0.8442,0.0,0.712,0.288,-0.125,0.375,0.9692
788,JBi,Joe Biden,01-Mar-22,State of the Union Address,395,"Tonight, IÕd like to honor someone who has dedicated his life to serve this country: Justice Stephen BreyerÑan Army veteran, Constitutional scholar, and retiring Justice of the United States Supreme Court.",0.9678,0.0,0.523,0.477,0.0,0.0,0.9678
7992,RRe,Ronald Reagan,26-Sep-88,Address to the United Nations,192,"I stand at this podium, then, in a moment of hopeÑhope not just for the peoples of the United States or the Soviet Union but for all the peoples of the worldÑand hope, too, for the dream of peace among nations, the dream that began the United Nations.",0.9595,0.0,0.676,0.324,0.0,0.0,0.9595
4866,BKO,Barack Obama,04-Dec-13,Speech on Economic Mobility,281,"So if weÕre going to take on growing inequality and try to improve upward mobility for all people, weÕve got to move beyond the false notion that this is an issue exclusively of minority concern.",0.5574,0.0,0.878,0.122,-0.4000000000000001,0.6,0.9574
13662,RMN,Richard M. Nixon,25-Feb-71,Radio Address About Second Annual Foreign Policy Report to the Congress,161,"The policy of the United States will continue to be to promote peace talksÑnot to try to impose a peace from the outside, but to support the peace efforts of the parties in the region themselves.",0.9549,0.033,0.555,0.412,0.0,0.05,0.9549
13698,RMN,Richard M. Nixon,25-Feb-71,Radio Address About Second Annual Foreign Policy Report to the Congress,161,"We can have that mutual respect with our friends, without dominating them or without letting them down.",0.7957,0.0,0.634,0.366,-0.15555555555555559,0.2888888888888889,0.9512555555555555
6915,BCl,Bill Clinton,19-Jan-99,State of the Union Address,303,"Now I ask Congress to provide resources so that all parties can implement the Wye agreement to protect Israel's security, to stimulate the Palestinian economy, to support our friends in Jordan.",0.9506,0.0,0.549,0.451,0.0,0.0,0.9506
14829,LBJ,Lyndon B. Johnson,31-Mar-68, Remarks on Decision not to Seek Re-Election,191,"And holding the trust that is mine, as President of all the people, I cannot disregard the peril to the progress of the American people and the hope and the prospect of peace for all peoples.",0.9499,0.0,0.599,0.401,0.0,0.0,0.9499
7361,BCl,Bill Clinton,20-Jan-97,Second Inaugural,110,"America became the world's mightiest industrial power, saved the world from tyranny in two World Wars and a long Cold War, and time and again reached out across the globe to millions who, like us, longed for the blessings of liberty.",0.6249,0.139,0.61,0.251,-0.325,0.7,0.9499
5897,GWB,George W. Bush,28-Jan-08,State of the Union Address,305,"I call on Congress to enact the reforms recommended by Senator Bob Dole and Secretary Donna Shalala, so we can improve the system of care for our wounded warriors and help them build lives of hope and promise and dignity.",0.9498,0.0,0.63,0.37,0.0,0.0,0.9498
11919,GFo,Gerald Ford,12-Jan-77, State of the Union Address,215,"We have moved forward to develop the naval petroleum reserves; to build a 500-million barrel strategic petroleum stockpile; to phase out unnecessary government allocation and price controls; to develop a lasting relationship with other oil consuming nations; to improve the efficiency of energy use through conservation in automobiles, buildings, and industry; and to expand research on new technology and renewable resources such as wind power, geothermal and solar energy.",0.872,0.0,0.839,0.161,-0.07772727272727273,0.4459090909090909,0.9497272727272728
9493,RRe,Ronald Reagan,23-Aug-84,Republican National Convention,293,"For the sake of our children and the safety of this Earth, we ask the SovietsÑwho have walked out of our negotiationsÑto join us in reducing and, yes, ridding the Earth of this awful threat.",-0.0516,0.155,0.673,0.173,-1.0,1.0,0.9484
5753,GWB,George W. Bush,28-Jan-08,State of the Union Address,305,"Our foreign policy is based on a clear premise: We trust that people, when given the chance, will choose a future of freedom and peace.",0.9393,0.0,0.536,0.464,-0.008333333333333326,0.2111111111111111,0.9476333333333333
17164,JFK,John F. Kennedy,06-Dec-61,Address to the National Association of Manufacturers,182,"We can, over the next few years, offset with the help of our Allies a billion dollars, as I have said, of our $3 billion overseas defense outlays; reduce, with the help of the Congress, the money which goes because of tax advantages; cut back still further that portion of our foreign aid procurement which is not already spent here; and take the other steps I have mentioned, including an increase in our exports, for which all the additional tools we need are well within our reach.",0.8689,0.023,0.817,0.16,-0.07857142857142858,0.17142857142857143,0.9474714285714286
5021,BKO,Barack Obama,04-Dec-13,Speech on Economic Mobility,281,"Because in the three years since we passed this law, the share of Americans with insurance is up, the growth of health care costs are down to their slowest rate in 50 years.",0.7906,0.0,0.789,0.211,-0.15555555555555559,0.2888888888888889,0.9461555555555555
16661,JFK,John F. Kennedy,11-Jan-62,State of the Union Address,216,"To expand our growth and job opportunities, I urge on the Congress three measures:

First, the Manpower Training and Development Act, to stop the waste of able-bodied men and women who want to work, but whose only skill has been replaced by a machine, or moved with a mill, or shut down with a mine;

Second, the Youth Employment Opportunities Act, to help train and place not only the one million young Americans who are both out of school and out of work, but the twenty-six million young Americans entering the labor market in this decade; and

Third, the 8 percent tax credit for investment in machinery and equipment, which, combined with planned revisions of depreciation allowances, will spur our modernization, our growth, and our ability to compete abroad.",0.9559,0.025,0.809,0.165,0.010493827160493824,0.38024691358024687,0.9454061728395061
17051,JFK,John F. Kennedy,06-Dec-61,Address to the National Association of Manufacturers,182,"This year's new long-range program to aid in the growth of the underdeveloped regions of the world, and the unaligned nations can bring us still further gains--not merely as a blow against communism but as a blow for freedom.",0.8225,0.0,0.822,0.178,-0.12121212121212122,0.48484848484848486,0.9437121212121212
2439,DTr,Donald Trump,04-Jul-20,Remarks at Salute to America,209,"God Bless you, God Bless our heroes, God bless America.",0.9432,0.0,0.143,0.857,0.0,0.0,0.9432
7938,RRe,Ronald Reagan,16-Dec-88,Speech on Foreign Policy,236,"It was their last gift to us, this lesson in tolerance for each other, in charity, this insight into America's strength as a nation.",0.8779,0.0,0.631,0.369,-0.0625,0.22083333333333333,0.9404
16361,JFK,John F. Kennedy,14-Jan-63,State of the Union Address,219,In these past months we have reaffirmed the scientific and military superiority of freedom.,0.765,0.0,0.645,0.355,-0.175,0.175,0.94
14695,LBJ,Lyndon B. Johnson,31-Mar-68, Remarks on Decision not to Seek Re-Election,191,"And tonight, I call upon the United Kingdom and I call upon the Soviet UnionÑas cochairmen of the Geneva Conferences, and as permanent members of the United Nations Security CouncilÑto do all they can to move from the unilateral act of deescalation that I have just announced toward genuine peace in Southeast Asia.",0.8885,0.0,0.8,0.2,-0.04999999999999999,0.6,0.9384999999999999
14516,LBJ,Lyndon B. Johnson,14-Jan-69,State of the Union Address,285,"For the future, the quest for peace, I believe, requires:

--that we maintain the liberal trade policies that have helped us become the leading nation in world trade,

--that we strengthen the international monetary system as an instrument of world prosperity, and

--that we seek areas of agreement with the Soviet Union where the interests of both nations and the interests of world peace are properly served.",0.9382,0.0,0.784,0.216,0.0,0.075,0.9382
8607,RRe,Ronald Reagan,25-Jan-88,State of the Union Address,224,"On Wednesday my request to sustain the freedom fighters will be submitted, which reflects our mutual desire for peace, freedom, and democracy in Nicaragua.",0.9371,0.034,0.546,0.42,0.0,0.0,0.9371
10966,JCa,Jimmy Carter,19-Jan-78, State of the Union Address,251,There is all across our land a growing sense of peace and a sense of common purpose.,0.6369,0.0,0.714,0.286,-0.3,0.5,0.9369000000000001
8729,RRe,Ronald Reagan,21-Oct-84, Debate with Walter Mondale (Defense and Foreign Policy),307,How can something this serious occur in an administration and have a President of the United States in a situation like this say he didn't know?,0.6027,0.05,0.759,0.192,-0.3333333333333333,0.6666666666666666,0.9360333333333333
9543,RRe,Ronald Reagan,23-Aug-84,Republican National Convention,293,"Nancy and I will be forever grateful for the honor you've done us, for the opportunity to serve, and for your friendship and trust.",0.9349,0.0,0.542,0.458,0.0,0.0,0.9349
9863,RRe,Ronald Reagan,25-Jan-84,State of the Union Address,292,"You inspire us as a force for freedom, not for despotism; and, yes, for peace, not conquest.",0.9337,0.0,0.46,0.54,0.0,0.0,0.9337
645,JBi,Joe Biden,01-Mar-22,State of the Union Address,395,"Look, the American Rescue Plan is helping millions of families on Affordable Care Act plans save $2,400 a year on their health care premiums.",0.9337,0.0,0.544,0.456,0.0,0.0,0.9337
2100,DTr,Donald Trump,07-Sep-20,Labor Day Press Conference,508,"And they came out very strongly and said, ÒSir, we canÕt allow you to make this trip.Ó If I wanted to: ÒSir, we canÕt allow you, from a safety standpoint.Ó

It was a phony story, just like the dirty dossierÑthe fake, dirty dossier; just like the Russia collusion; just like all of the other phony stories.",0.6801,0.13,0.629,0.241,-0.25233333333333335,0.7856666666666667,0.9324333333333334
7170,BCl,Bill Clinton,27-Jan-98,State of the Union Address,287,"You know, we help communities in a special way when their military base closes; we ought to help them in the same way if their factory closes.",0.7964,0.0,0.74,0.26,-0.13571428571428573,0.4491071428571428,0.9321142857142857
11142,JCa,Jimmy Carter,19-Jan-78, State of the Union Address,251,If these talks result in an agreement this yearÑand I trust they willÑI pledge to you that the agreement will maintain and enhance the stability of the world's strategic balance and the security of the United States.,0.9313,0.0,0.675,0.325,0.0,0.0,0.9313
16890,JFK,John F. Kennedy,07-Dec-61,Address in Miami at the Opening of the AFL-CIO Convention,155,"And I hope that those who go from this hall to Latin America, to Europe, to Africa, will recognize that we believe in freedom and in progress in this country, that we believe that freedom is not an end in itself, but we believe that freedom can bring material abundance and prosperity.",0.9306,0.0,0.756,0.244,0.0,0.0,0.9306
11859,GFo,Gerald Ford,12-Jan-77, State of the Union Address,215,"The United States, in close cooperation with the United Kingdom, is actively engaged in this historic process.",0.8625,0.0,0.551,0.449,-0.06666666666666667,0.3,0.9291666666666667
11842,GFo,Gerald Ford,12-Jan-77, State of the Union Address,215,Hopes for future progress in the Middle East were stirred by the historic agreements we reached and the trust and confidence that we formed.,0.9287,0.0,0.534,0.466,0.0,0.041666666666666664,0.9287
2382,DTr,Donald Trump,04-Jul-20,Remarks at Salute to America,209,"If you believe in justice, if you believe in freedom, if you believe in peace, then you must cherish the principles of our founding and the text of our Constitution.",0.9287,0.0,0.655,0.345,0.0,0.0,0.9287
7031,BCl,Bill Clinton,25-Mar-98,Remarks to the People of Rwanda,96,We applaud the efforts of the Rwandan Government to strengthen civilian and military justice systems.,0.8271,0.0,0.58,0.42,-0.1,0.1,0.9270999999999999
6641,BCl,Bill Clinton,27-Jan-00,State of the Union Address,318,"Now, those of us who believe passionately in the power of open trade, we have to ensure that it lifts both our living standards and our values, never tolerating abusive child labor or a race to the bottom in the environment and worker protection.",0.9015,0.0,0.764,0.236,-0.025,0.675,0.9265
5390,GWB,George W. Bush,12-Jan-09,Final Press Conference,401,"And President-Elect Obama will find, as he makes these tough calls and tough decisions, that he'll be supported by a lot of really good people that care -- care about the country, as well.",0.8999,0.07,0.605,0.325,-0.025925925925925946,0.7555555555555555,0.9258259259259259
7098,BCl,Bill Clinton,27-Jan-98,State of the Union Address,287,"It is the product of hard work by the American people and of two visionary actions in Congress: the courageous vote in 1993 that led to a cut in the deficit of 90 percent, and the truly historic bipartisan balanced budget agreement passed by this Congress.",0.8271,0.109,0.665,0.226,-0.09722222222222222,0.18055555555555555,0.9243222222222222
7811,RRe,Ronald Reagan,16-Dec-88,Speech on Foreign Policy,236,"Consider for just a moment the sights we've seen this year: an American President with his Soviet counterpart strolling through Red Square and talking to passers-by about war and peace; an American President there in the Lenin Hills of Moscow speaking to the students of Moscow State University, young people like yourselves, about the wonder and splendor of human freedom; an American President, only last week, with a future American President and the President of the Soviet Union standing in New York Harbor, looking up at Lady Liberty, hearing again the prayer on the lips of all those millions who once passed that way in hope of a better life and future -- a prayer of peace and freedom for all humanity.",0.9803,0.027,0.755,0.217,0.05664335664335664,0.21317016317016316,0.9236566433566433
2380,DTr,Donald Trump,04-Jul-20,Remarks at Salute to America,209,"The patriots who built our country were not villains, they were heroes whose courageous deeds improved the Earth beyond measure.",0.9234,0.0,0.546,0.454,0.0,0.0,0.9234
7902,RRe,Ronald Reagan,16-Dec-88,Speech on Foreign Policy,236,"Even in arms reduction, a President's ability to succeed depends on congressional support for military modernization -- sometimes attempts are made to weaken my hand.",0.8225,0.084,0.572,0.343,-0.1,0.1,0.9225
4191,BKO,Barack Obama,22-Mar-16,Remarks to the People of Cuba,260,"Cubans, she said, can Òinnovate and adapt without losing our identityÉour secret is in not copying or imitating but simply being ourselves.Ó

Look at Papito Valladeres, a barber, whose success allowed him to improve conditions in his neighborhood.",0.8883,0.0,0.764,0.236,-0.03333333333333335,0.3523809523809524,0.9216333333333333
12317,GFo,Gerald Ford,10-Apr-75,Address on U.S. Foreign Policy,255,"In the face of this situation, the United States--torn as it was by the emotions of a decade of war--was unable to respond.",0.4215,0.0,0.882,0.118,-0.5,0.5,0.9215
16952,JFK,John F. Kennedy,07-Dec-61,Address in Miami at the Opening of the AFL-CIO Convention,155,But unfortunately that $5 billion goes abroad in order to maintain the national security requirements of the United States.,0.4215,0.102,0.678,0.22,-0.5,1.0,0.9215
3458,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,"Suggesting that we can build an endless wall along our borders, and blame our challenges on immigrants -- that doesnÕt just run counter to our history as the worldÕs melting pot; it contradicts the evidence that our growth and our innovation and our dynamism has always been spurred by our ability to attract strivers from every corner of the globe.",0.7964,0.068,0.736,0.197,-0.125,0.75,0.9214
15045,LBJ,Lyndon B. Johnson,17-Jan-68,State of the Union Address,285,"Virtually all of this expenditure increase represents the mandatory cost of our defense efforts, $3 billion; increased interest, almost $1 billion; or mandatory payments under laws passed by Congress--such as those provided in the Social Security Act that you passed in 1967, and to Medicare and Medicaid beneficiaries, veterans, and farmers, of about $4 1/2 billion; and the additional $1 billion 600 million next year for the pay increases that you passed in military and civilian pay.",0.8979,0.032,0.775,0.193,-0.022222222222222227,0.05555555555555556,0.9201222222222223
2431,DTr,Donald Trump,04-Jul-20,Remarks at Salute to America,209,"Today, we thank God for the gift of life and for the blessing of liberty.",0.9201,0.0,0.415,0.585,0.0,0.0,0.9201
6254,GWB,George W. Bush,11-Jan-07,Address on Military Operations in Iraq,159,"When this happens, daily life will improve, Iraqis will gain confidence in their leaders, and the government will have the breathing space it needs to make progress in other critical areas.",0.8779,0.057,0.639,0.305,-0.041666666666666664,0.39166666666666666,0.9195666666666666
9649,RRe,Ronald Reagan,25-Jan-84,State of the Union Address,292,"This nation champions peace that enshrines liberty, democratic rights, and dignity for every individual.",0.9186,0.0,0.435,0.565,0.0,0.4,0.9186
5771,GWB,George W. Bush,28-Jan-08,State of the Union Address,305,"And that is why, for the security of America and the peace of the world, we are spreading the hope of freedom.",0.9186,0.0,0.581,0.419,0.0,0.0,0.9186
5626,GWB,George W. Bush,28-Jan-08,State of the Union Address,305,"So last week, my administration reached agreement with Speaker Pelosi and Republican Leader Boehner on a robust growth package that includes tax relief for individuals and families and incentives for business investment.",0.9186,0.0,0.625,0.375,0.0,0.06666666666666667,0.9186
13472,RMN,Richard M. Nixon,20-Jan-72,State of the Union Address,172,"They include, among others, our programs to improve life for the aging; to combat crime and drug abuse; to improve health services and to ensure that no one will be denied needed health care because of inability to pay; to protect workers' pension rights; to promote equal opportunity for members of minorities, and others who have been left behind; to expand consumer protection; to improve the environment; to revitalize rural America; to help the cities; to launch new initiatives in education; to improve transportation, and to put an end to costly labor tie-ups in transportation.",0.8658,0.163,0.598,0.239,-0.052727272727272734,0.2809090909090909,0.9185272727272727
10297,JCa,Jimmy Carter,28-Oct-80,Debate with Ronald Reagan,309,"Strength is imperative for peace, but the two must go hand in hand.",0.9178,0.0,0.41,0.59,0.0,0.0,0.9178
5096,GWB,George W. Bush,12-Jan-09,Final Press Conference,401,"The challenge is to develop -- help the Palestinians develop a democracy -- I mean, and a vibrant economy in their -- that will help lead to democracy.",0.8442,0.0,0.675,0.325,-0.07291666666666667,0.5104166666666666,0.9171166666666666
5758,GWB,George W. Bush,28-Jan-08,State of the Union Address,305,We've seen jubilant Iraqis holding up ink-stained fingers and celebrating their freedom.,0.9169,0.0,0.431,0.569,0.0,0.0,0.9169
14878,LBJ,Lyndon B. Johnson,17-Jan-68,State of the Union Address,285,"Now the nations of the Middle East have the opportunity to cooperate with Ambassador Jarring's U.N. mission and they have the responsibility to find the terms of living together in stable peace and dignity, and we shall do all in our power to help them achieve that result.",0.9169,0.0,0.756,0.244,0.0,0.0,0.9169
16117,JFK,John F. Kennedy,10-Jun-63,American University Commencement,152,"This is a young and growing university, but it has already fulfilled Bishop Hurst's enlightened hope for the study of history and public affairs in a city devoted to the making of history and to the conduct of the public's business.",0.9497,0.0,0.67,0.33,0.03333333333333333,0.17777777777777778,0.9163666666666667
16749,JFK,John F. Kennedy,11-Jan-62,State of the Union Address,216,"And the way of the past shows dearly that freedom, not coercion, is the wave of the future.",0.7906,0.0,0.696,0.304,-0.125,0.1875,0.9156
13660,RMN,Richard M. Nixon,25-Feb-71,Radio Address About Second Annual Foreign Policy Report to the Congress,161,We are encouraged by the willingness of each of the parties to begin to look to the larger interest of peace and stability throughout the Middle East.,0.9153,0.0,0.615,0.385,0.0,0.25,0.9153
6240,GWB,George W. Bush,11-Jan-07,Address on Military Operations in Iraq,159,"Our troops will have a well-defined mission: to help Iraqis clear and secure neighborhoods, to help them protect the local population, and to help ensure that the Iraqi forces left behind are capable of providing the security that Baghdad needs.",0.9652,0.0,0.563,0.437,0.049999999999999996,0.34722222222222215,0.9151999999999999
